department,satisfaction,monthly_hours,years_at_company,salary_band,overtime,left_company
operations,0.589,199.9,7,low,0,0
support,0.209,139.9,1,low,0,1
sales,0.678,201.0,4,medium,0,0
engineering,0.47,148.4,13,low,0,0
support,0.807,127.8,2,low,1,0
operations,0.862,127.0,7,medium,0,0
engineering,0.354,156.8,14,medium,0,0
engineering,0.474,168.1,6,low,0,0
engineering,0.893,129.2,10,low,0,0
engineering,0.76,174.7,8,medium,1,0
operations,0.234,145.5,6,high,1,1
support,0.746,173.4,12,low,0,0
support,0.682,155.8,3,low,0,0
sales,0.256,218.5,3,medium,1,0
engineering,0.648,177.6,14,medium,0,0
support,0.79,192.8,2,medium,0,0
operations,0.249,196.1,7,medium,1,1
sales,0.743,167.2,13,high,0,0
engineering,0.941,176.2,12,medium,0,0
sales,0.734,139.7,10,medium,1,0
operations,0.465,190.8,4,medium,1,0
operations,0.808,125.2,5,low,0,0
support,0.971,204.9,4,medium,0,0
sales,0.812,203.6,14,low,0,0
operations,0.792,228.3,7,low,0,0
operations,0.705,,8,medium,0,1
sales,0.113,151.2,4,high,0,1
sales,0.974,183.5,10,medium,1,0
support,0.312,163.0,11,high,0,0
support,0.768,141.5,8,high,1,0
sales,0.524,143.5,0,medium,1,1
operations,0.523,176.3,0,low,0,0
engineering,0.616,204.4,5,medium,1,0
sales,0.33,186.2,0,medium,0,1
sales,0.244,167.0,3,low,0,0
engineering,0.672,163.0,7,medium,0,0
support,0.53,173.8,3,low,1,1
engineering,0.911,210.2,14,high,0,0
operations,0.603,162.7,3,low,0,0
sales,0.134,144.7,11,medium,0,0
sales,0.162,163.6,1,low,0,1
support,0.874,189.6,13,high,0,0
engineering,0.959,235.7,11,low,0,0
sales,0.538,166.3,4,low,1,0
sales,0.601,232.3,14,medium,1,0
operations,0.78,181.5,9,high,1,0
sales,0.104,181.2,3,low,0,1
support,0.135,161.9,3,medium,0,1
support,0.448,224.0,7,low,0,0
engineering,0.679,150.6,7,medium,0,0
sales,0.776,250.1,12,high,1,0
sales,0.869,185.4,11,low,1,0
engineering,0.201,148.3,8,low,0,0
engineering,0.603,174.9,5,high,0,0
engineering,0.643,125.6,14,medium,0,1
sales,0.928,214.9,8,medium,1,0
engineering,0.563,204.8,12,low,0,0
operations,0.588,156.9,6,low,0,0
engineering,0.587,186.6,12,low,0,0
support,0.614,144.5,1,medium,0,0
support,0.622,135.1,3,medium,1,0
support,0.881,130.1,7,medium,0,0
engineering,0.11,149.3,9,low,1,0
sales,0.616,190.4,5,low,0,0
engineering,0.219,152.0,11,medium,0,0
sales,0.194,156.2,1,medium,0,0
sales,0.62,158.7,14,medium,1,0
sales,0.199,201.6,4,low,0,1
engineering,0.473,133.0,1,high,1,0
engineering,0.391,189.8,1,low,0,0
support,0.168,201.2,7,medium,0,0
sales,0.619,162.2,12,low,0,0
sales,0.809,163.1,8,low,0,0
engineering,0.998,151.9,8,low,0,0
operations,0.942,154.3,3,high,1,1
operations,0.917,178.0,11,low,0,0
sales,0.154,153.4,6,medium,0,0
operations,0.231,137.5,14,low,1,1
operations,0.626,185.2,14,high,0,0
operations,0.638,224.2,11,low,0,0
sales,0.199,173.2,0,medium,0,0
operations,0.799,151.3,6,medium,0,0
engineering,0.16,203.0,13,low,0,1
engineering,0.334,159.3,0,low,0,0
engineering,0.908,209.0,1,high,1,0
engineering,0.702,199.4,7,low,1,0
sales,0.146,167.5,9,low,0,0
sales,0.472,173.5,6,medium,0,0
operations,0.837,151.4,0,medium,0,0
support,0.731,196.0,12,medium,0,0
support,0.18,149.2,14,medium,1,1
sales,0.332,101.6,9,medium,0,1
support,0.656,189.6,9,low,0,0
support,0.504,136.1,0,medium,1,0
support,0.329,127.9,3,low,0,1
operations,0.768,243.6,3,high,0,0
sales,0.851,159.1,3,medium,0,0
sales,0.494,145.4,4,medium,0,0
sales,0.711,,14,medium,1,0
support,0.968,161.4,5,high,0,0
sales,0.947,158.6,4,medium,1,0
operations,0.334,143.7,12,medium,0,0
support,0.926,208.5,11,medium,1,0
support,0.851,147.3,14,medium,0,0
engineering,0.963,154.5,3,medium,0,0
engineering,0.897,171.9,6,low,0,0
engineering,0.511,177.8,13,medium,0,0
engineering,0.554,185.5,5,high,0,1
sales,0.239,158.5,2,low,0,0
engineering,0.205,140.6,14,medium,1,1
support,0.535,152.5,5,low,0,0
sales,0.178,247.0,3,low,0,1
sales,0.877,111.6,4,low,0,0
operations,0.212,188.2,4,medium,1,1
engineering,0.986,162.0,12,low,1,0
engineering,0.656,178.3,4,low,0,0
operations,0.707,228.7,6,low,0,0
engineering,0.878,191.6,2,medium,0,0
operations,0.938,176.5,4,medium,0,0
sales,0.715,176.7,10,low,1,0
engineering,0.235,191.7,2,high,1,1
operations,0.525,161.8,14,low,0,0
engineering,0.624,125.9,12,low,0,0
support,0.256,160.8,8,low,1,1
engineering,0.142,167.8,11,medium,0,0
support,0.607,127.5,10,low,1,0
operations,0.525,136.6,9,low,1,1
engineering,0.219,177.8,9,low,1,0
sales,0.84,219.4,12,medium,0,0
sales,0.522,191.4,10,low,0,0
engineering,0.316,169.0,14,medium,0,0
sales,0.611,97.4,2,medium,0,0
engineering,0.5,183.6,13,medium,0,1
operations,0.729,173.0,7,medium,0,1
operations,0.394,111.8,13,high,1,1
operations,0.215,126.6,11,low,1,1
engineering,0.115,163.6,11,medium,0,0
engineering,0.228,166.3,11,low,0,0
engineering,0.806,174.8,6,low,0,0
sales,0.644,185.0,4,medium,0,0
engineering,0.632,187.7,1,medium,0,0
engineering,0.25,65.0,3,low,0,1
sales,0.529,179.6,1,medium,1,0
engineering,0.809,150.9,1,medium,0,0
operations,0.177,120.5,4,high,1,1
engineering,0.929,,1,low,1,0
engineering,0.961,191.7,13,high,0,0
operations,0.121,164.5,13,medium,1,1
support,0.375,187.8,3,low,0,1
engineering,0.448,158.0,6,low,0,0
operations,0.78,141.8,4,low,0,0
engineering,0.302,212.1,11,low,1,0
support,0.114,153.1,1,medium,1,1
engineering,0.684,186.6,12,low,0,0
engineering,0.405,149.3,3,medium,0,0
engineering,0.786,141.4,10,high,1,0
operations,0.282,234.7,1,medium,1,0
sales,0.786,176.9,3,medium,1,0
engineering,0.887,164.3,11,low,1,0
engineering,0.959,,4,medium,1,0
operations,0.895,206.6,1,low,0,1
operations,0.287,166.5,2,low,0,0
engineering,0.523,170.1,12,medium,0,1
operations,0.744,215.1,8,low,1,0
engineering,0.415,157.7,12,low,1,1
sales,0.445,170.9,7,low,0,0
sales,0.182,207.1,8,high,0,0
engineering,0.187,204.4,13,low,1,1
support,0.698,221.1,5,high,1,0
support,0.314,222.9,11,low,1,1
engineering,0.548,189.6,3,low,0,0
operations,0.252,185.0,6,low,1,1
support,0.705,174.7,6,medium,0,1
engineering,0.548,165.5,13,medium,1,0
operations,0.904,215.9,12,medium,1,0
operations,0.929,194.2,8,low,0,1
sales,0.708,200.6,7,medium,0,0
operations,0.413,161.9,9,medium,0,0
engineering,0.715,156.6,9,low,0,0
engineering,0.168,128.4,1,low,0,1
engineering,0.181,188.3,6,medium,1,0
support,0.959,107.4,5,medium,0,1
operations,0.233,217.8,7,low,0,1
engineering,0.579,147.8,5,low,1,0
engineering,0.288,170.7,2,medium,0,1
support,0.591,147.4,7,low,0,0
engineering,0.55,154.5,9,low,0,0
engineering,0.774,163.2,4,low,0,0
operations,0.133,182.6,13,medium,0,0
engineering,0.368,177.4,9,low,0,0
support,0.911,217.9,9,medium,0,0
engineering,0.719,201.2,3,high,0,0
engineering,0.753,176.6,3,medium,0,0
sales,0.624,160.5,9,high,1,0
engineering,0.264,146.4,9,medium,1,0
engineering,0.957,237.7,0,low,0,0
support,0.936,128.3,13,medium,0,0
support,0.345,145.2,9,medium,1,0
sales,0.505,139.9,6,low,0,0
engineering,0.305,187.1,3,low,1,1
engineering,0.735,226.0,14,low,1,0
engineering,0.269,129.8,11,high,1,0
sales,0.467,122.9,0,low,0,0
sales,0.488,137.8,3,high,0,0
sales,0.959,157.3,8,high,0,0
sales,0.306,174.9,2,low,0,0
sales,0.648,197.0,5,high,0,0
engineering,0.755,158.0,14,high,0,0
sales,0.973,,8,low,1,0
operations,0.436,187.3,14,medium,1,0
sales,0.192,215.0,4,medium,0,0
support,0.233,158.5,9,low,0,0
operations,0.971,241.7,4,medium,0,0
operations,0.7,172.6,7,medium,0,0
engineering,0.469,160.6,6,high,1,0
operations,0.407,134.6,1,low,0,0
engineering,0.598,180.6,1,low,0,1
operations,0.702,,9,high,0,0
engineering,0.721,179.3,9,low,0,0
support,0.842,141.6,9,medium,0,0
engineering,0.617,217.1,7,low,0,0
sales,0.836,197.0,11,low,0,0
sales,0.41,213.4,12,medium,1,1
sales,0.42,115.8,2,low,0,0
sales,0.666,175.3,10,high,1,0
sales,0.542,174.1,0,low,0,0
engineering,0.461,195.0,3,medium,0,0
engineering,0.14,176.1,2,high,0,0
operations,0.585,206.1,6,high,0,0
engineering,0.317,161.8,8,high,0,0
support,0.428,134.3,12,low,1,0
engineering,0.823,170.3,1,medium,0,0
support,0.581,146.6,11,low,0,0
engineering,0.198,170.6,3,low,0,0
operations,0.274,189.4,5,low,0,0
sales,0.605,181.9,2,medium,0,0
support,0.372,152.2,7,medium,1,0
engineering,0.125,135.4,1,low,0,1
sales,0.439,195.2,7,low,0,1
support,0.352,198.1,14,high,0,0
sales,0.922,123.5,12,low,0,0
support,0.759,168.2,7,high,1,0
operations,0.426,107.4,3,low,1,0
engineering,0.328,153.6,0,low,0,0
sales,0.666,135.7,3,medium,0,0
sales,0.667,171.1,2,low,0,0
operations,0.137,169.7,1,low,1,1
support,0.864,176.9,8,low,0,0
operations,0.349,122.7,13,medium,1,0
support,0.895,148.6,2,low,0,0
operations,0.489,170.0,13,low,1,0
support,0.903,172.7,12,medium,1,0
engineering,0.376,215.2,1,medium,1,1
sales,0.484,219.6,5,low,0,0
operations,0.271,157.0,11,high,0,0
sales,0.568,194.4,10,medium,0,0
operations,0.862,191.3,7,low,0,0
operations,0.596,209.9,0,low,0,1
operations,0.696,131.1,7,low,1,0
operations,0.369,111.3,14,medium,0,1
operations,0.984,188.4,2,medium,0,0
sales,0.318,183.6,6,high,0,0
engineering,0.66,181.9,8,medium,0,0
sales,0.202,197.1,6,medium,0,0
engineering,0.5,216.1,10,low,0,0
operations,0.717,181.5,1,low,0,0
sales,0.71,123.0,5,medium,1,0
operations,0.213,194.8,11,medium,0,1
support,0.11,176.5,14,medium,1,0
sales,0.782,199.4,12,medium,0,0
operations,0.453,187.0,11,low,0,0
engineering,0.535,137.3,0,medium,0,0
sales,0.73,174.2,7,high,1,1
engineering,0.27,154.0,12,medium,1,1
operations,0.648,138.5,2,low,0,1
sales,0.173,197.5,4,low,0,1
sales,0.25,145.5,1,medium,0,1
operations,0.459,196.6,10,medium,0,0
sales,0.671,134.5,14,medium,1,0
sales,0.52,198.5,6,low,1,0
support,0.717,225.0,1,high,0,0
operations,0.477,137.0,3,low,0,1
sales,0.703,162.7,6,medium,0,0
operations,0.559,194.4,4,low,0,1
engineering,0.569,155.8,10,low,0,0
engineering,0.419,171.4,12,low,0,0
engineering,0.356,151.7,0,low,0,0
sales,0.854,178.4,7,medium,0,0
support,0.39,128.3,12,low,1,0
operations,0.24,154.4,10,medium,0,1
support,0.388,193.9,11,low,1,1
engineering,0.988,182.3,3,low,1,0
engineering,0.112,164.5,11,low,0,0
sales,0.237,141.2,9,high,1,1
operations,0.264,160.5,9,medium,1,0
engineering,0.192,,11,low,0,1
operations,0.183,136.7,6,low,0,0
support,0.739,138.8,1,medium,0,0
engineering,0.992,141.6,14,low,1,0
support,0.798,153.4,14,low,0,0
operations,0.336,177.0,1,medium,1,1
operations,0.346,185.3,3,low,0,0
engineering,0.942,149.2,6,low,0,0
engineering,0.174,201.2,0,medium,0,1
support,0.233,174.8,13,medium,0,0
engineering,0.194,176.8,6,high,0,1
engineering,0.524,143.6,5,medium,0,1
engineering,0.912,183.1,6,low,0,0
sales,0.711,190.3,5,low,0,1
operations,0.415,167.4,11,medium,1,0
engineering,0.9,181.4,11,high,0,0
engineering,0.928,187.4,14,medium,0,0
operations,0.432,158.6,13,high,1,0
support,0.296,187.6,11,medium,0,1
sales,0.888,156.9,11,medium,1,0
support,0.978,164.3,0,medium,0,0
sales,0.385,154.8,8,low,0,0
sales,0.102,145.5,7,low,0,0
operations,0.796,172.9,3,low,0,1
engineering,0.464,178.4,5,low,0,1
engineering,0.504,209.3,0,medium,0,1
engineering,0.916,184.0,14,high,1,0
sales,0.454,184.5,13,medium,0,0
sales,0.99,184.1,8,high,0,0
support,0.587,151.2,11,medium,0,0
engineering,0.697,197.0,0,medium,0,0
sales,0.84,163.8,11,high,1,0
sales,0.489,165.5,5,medium,0,0
sales,0.996,210.0,11,high,0,0
operations,0.953,174.3,9,low,1,0
sales,0.731,184.8,12,medium,0,0
support,0.777,226.0,14,low,0,0
sales,0.615,152.4,1,low,0,0
engineering,0.847,163.4,12,medium,0,0
operations,0.117,155.7,12,low,0,0
support,0.551,117.0,9,low,1,0
sales,0.272,173.5,1,low,0,1
support,0.768,124.9,7,low,0,0
sales,0.835,189.4,8,low,0,0
sales,0.638,166.4,10,low,0,0
engineering,0.793,172.9,2,low,0,0
engineering,0.266,158.9,4,low,1,1
engineering,0.383,160.6,14,medium,1,0
support,0.693,142.0,1,medium,0,0
sales,0.412,106.6,6,medium,1,1
engineering,0.279,177.6,8,medium,1,1
operations,0.816,250.8,8,low,1,1
sales,0.267,201.3,1,low,0,0
engineering,0.739,154.7,6,low,0,1
sales,0.896,150.4,3,high,0,0
engineering,0.294,165.7,10,low,0,1
operations,0.747,196.3,10,medium,0,0
sales,0.458,161.7,9,medium,1,0
operations,0.215,,10,medium,1,0
operations,0.4,186.1,7,low,0,0
operations,0.154,226.0,9,low,0,0
engineering,0.264,175.2,2,low,0,0
sales,0.53,173.1,7,low,0,0
support,0.116,181.7,0,low,0,1
sales,0.974,176.8,12,medium,0,0
operations,0.664,188.0,1,medium,0,0
engineering,0.161,146.6,1,medium,0,0
sales,0.979,205.5,10,low,1,0
operations,0.154,179.3,12,low,0,1
sales,0.755,126.2,9,low,0,0
sales,0.525,167.0,8,medium,1,0
sales,0.217,183.1,14,low,1,0
engineering,0.67,165.3,2,low,0,0
engineering,0.829,229.0,7,low,0,0
operations,0.112,128.3,5,low,0,1
engineering,0.745,142.8,5,medium,0,0
engineering,0.873,149.7,2,low,1,0
engineering,0.761,223.9,1,low,0,0
sales,0.791,109.1,11,low,0,0
support,0.105,155.3,5,low,0,1
operations,0.446,186.2,13,medium,1,0
support,0.238,145.6,8,high,1,0
engineering,0.995,187.9,13,high,1,0
sales,0.357,189.5,7,low,1,1
support,0.919,139.6,14,high,0,0
operations,0.305,179.5,14,low,0,0
sales,0.446,112.2,7,low,0,0
engineering,0.332,198.5,8,low,0,0
engineering,0.749,191.4,8,medium,0,1
sales,0.285,202.2,10,medium,0,0
support,0.668,165.8,12,low,0,0
sales,0.808,132.6,3,medium,1,1
support,0.108,145.3,11,medium,0,0
engineering,0.815,97.9,2,high,1,1
sales,0.511,150.9,4,high,0,0
engineering,0.926,149.9,10,medium,0,0
operations,0.745,165.2,2,low,0,1
operations,0.208,154.6,4,low,0,1
engineering,0.962,141.0,0,medium,1,1
sales,0.86,119.5,1,high,0,1
engineering,0.702,144.2,12,low,0,0
support,0.738,174.0,5,low,1,0
operations,0.393,162.8,8,medium,0,0
support,0.909,194.8,12,low,0,0
sales,0.503,201.4,1,high,1,0
engineering,0.637,141.2,5,low,0,0
support,0.652,147.5,12,medium,0,0
operations,0.665,167.5,11,medium,0,0
support,0.448,122.5,7,medium,0,0
sales,0.778,210.8,3,high,1,0
support,0.748,234.0,8,low,0,0
sales,0.269,171.8,9,medium,0,0
operations,0.408,160.8,13,high,1,0
sales,0.553,147.9,6,low,0,0
engineering,0.417,155.0,0,high,1,1
sales,0.503,131.5,8,medium,0,0
engineering,0.774,,8,low,0,0
support,0.696,152.1,3,medium,0,0
support,0.689,169.1,10,medium,1,0
sales,0.265,217.8,4,low,1,1
support,0.342,143.3,0,low,0,0
engineering,0.719,217.6,8,medium,0,0
support,0.865,154.8,6,high,0,0
engineering,0.822,134.6,1,low,0,0
support,0.255,206.6,8,medium,1,0
operations,0.987,204.0,11,medium,1,0
sales,0.798,173.4,7,medium,0,0
engineering,0.548,139.6,4,low,1,0
operations,0.607,172.5,9,low,0,0
engineering,0.546,188.8,10,low,0,0
support,0.581,127.9,13,medium,1,0
sales,0.297,194.7,14,medium,0,1
support,0.215,136.7,6,low,0,0
engineering,0.933,165.0,4,medium,0,0
sales,0.875,164.4,3,low,1,0
sales,0.248,122.3,12,medium,0,0
sales,0.929,150.1,10,low,0,0
operations,0.115,,0,medium,0,0
operations,0.813,221.4,4,low,0,0
support,0.179,199.0,12,low,1,0
support,0.7,147.6,2,medium,0,0
support,0.667,173.1,7,medium,1,1
sales,0.439,186.4,3,medium,1,0
sales,0.695,84.8,2,low,0,0
operations,0.645,195.5,13,low,0,0
sales,0.433,186.2,6,low,0,0
support,0.106,176.0,4,medium,1,1
support,0.343,178.4,2,high,0,1
support,0.749,190.5,14,medium,0,0
operations,0.64,156.1,12,low,0,1
support,0.502,151.3,6,low,0,0
sales,0.353,107.9,6,low,0,0
support,0.773,182.1,3,medium,0,0
support,0.387,153.0,13,medium,0,0
engineering,0.61,154.2,9,medium,0,0
sales,0.4,177.7,7,high,0,0
engineering,0.686,154.0,4,low,1,1
operations,0.388,159.3,4,medium,0,0
sales,0.99,124.2,14,medium,0,0
operations,0.43,179.5,7,high,0,0
operations,0.735,147.9,1,high,1,1
sales,0.14,168.4,8,low,0,0
support,0.207,150.7,0,low,0,0
support,0.291,170.1,4,low,0,1
engineering,0.941,177.4,10,low,0,0
sales,0.831,172.5,2,medium,0,0
engineering,0.284,142.5,9,low,1,0
operations,0.963,164.9,14,medium,0,0
sales,0.155,228.2,2,high,0,0
engineering,0.875,209.6,8,medium,1,0
sales,0.541,159.9,5,low,0,0
sales,0.446,162.6,1,low,0,0
operations,0.268,190.5,11,low,0,1
operations,0.632,173.5,4,medium,0,0
support,0.259,198.3,6,low,1,0
support,0.188,197.6,11,low,0,0
operations,0.728,169.9,3,medium,0,0
sales,0.472,161.5,11,medium,0,0
engineering,0.255,153.3,10,low,0,1
sales,0.223,211.1,3,low,0,0
sales,0.906,185.8,0,medium,0,0
engineering,0.975,183.9,11,low,0,0
support,0.838,184.7,13,low,1,0
operations,0.176,200.4,12,medium,1,1
support,0.116,141.5,3,high,1,0
sales,0.808,163.0,9,low,0,0
operations,0.648,231.0,1,low,0,0
sales,0.809,,7,medium,0,0
support,0.99,225.6,10,low,0,0
operations,0.375,147.4,11,high,1,1
sales,0.984,161.2,8,medium,0,0
support,0.28,167.1,11,low,0,1
operations,0.561,143.6,7,medium,0,0
operations,0.966,,8,medium,0,0
sales,0.297,,5,low,0,0
operations,0.712,137.6,14,medium,0,0
sales,0.342,,4,low,1,1
support,0.511,158.5,4,medium,0,0
support,0.735,213.8,10,low,1,1
support,0.134,142.9,6,low,0,0
engineering,0.431,201.9,5,medium,0,0
sales,0.124,186.4,14,low,0,0
support,0.41,186.2,8,low,1,0
sales,0.441,162.7,8,low,0,0
operations,0.496,158.5,14,medium,0,0
engineering,0.397,168.7,3,low,1,0
support,0.497,183.5,2,low,0,0
sales,0.257,130.3,7,medium,0,0
engineering,0.843,151.5,3,medium,0,0
engineering,0.645,,0,medium,0,0
engineering,0.775,159.3,10,medium,1,0
sales,0.453,192.1,11,high,0,1
operations,0.649,,12,medium,1,0
engineering,0.113,147.5,13,low,0,0
support,0.832,214.0,6,low,0,0
engineering,0.939,195.1,2,low,0,0
operations,0.543,225.6,11,high,0,0
operations,0.549,153.7,11,low,0,0
support,0.453,146.2,7,low,0,0
operations,0.97,140.0,5,low,1,0
engineering,0.466,155.2,6,low,1,1
engineering,0.797,,13,low,1,0
engineering,0.873,190.8,1,low,1,0
operations,0.445,171.1,14,high,0,0
sales,0.515,229.5,7,high,1,1
operations,0.712,206.4,7,low,0,0
sales,0.369,152.4,4,low,0,0
sales,0.623,146.7,8,low,0,0
sales,0.201,200.1,14,high,0,0
operations,0.866,157.3,14,medium,0,0
sales,0.996,154.9,1,medium,1,0
operations,0.525,154.0,6,medium,1,0
operations,0.614,193.7,7,low,0,0
support,0.141,188.7,2,low,1,0
operations,0.295,132.2,4,high,1,0
engineering,0.597,225.8,8,low,0,0
sales,0.568,137.9,14,low,0,0
engineering,0.2,182.6,3,medium,1,0
sales,0.3,195.9,7,medium,1,1
operations,0.281,206.6,10,high,1,0
sales,0.565,171.8,1,high,0,0
engineering,0.438,93.6,2,low,0,0
operations,0.889,166.7,9,low,0,0
support,0.188,96.1,6,medium,0,1
operations,0.682,154.0,9,low,0,0
engineering,0.112,178.4,13,low,0,0
operations,0.148,121.2,14,high,0,0
support,0.819,209.4,0,low,1,0
operations,0.183,148.8,8,high,0,1
operations,0.521,147.9,14,low,0,0
operations,0.207,,4,medium,0,0
operations,0.534,220.8,8,low,0,0
support,0.522,189.1,3,low,0,1
operations,0.813,,12,high,0,0
support,0.386,173.0,1,medium,0,1
engineering,0.145,172.3,5,medium,0,1
operations,0.159,191.1,0,high,0,1
sales,0.166,143.4,14,high,0,0
engineering,0.746,189.7,12,low,0,0
sales,0.14,192.7,13,low,0,1
sales,0.867,120.6,6,medium,1,0
operations,0.542,185.8,6,low,0,0
support,0.448,225.8,3,high,1,0
sales,0.656,170.8,5,low,0,0
sales,0.99,216.7,6,medium,0,0
sales,0.645,,5,medium,0,0
support,0.551,160.3,0,medium,0,1
engineering,0.305,173.4,4,medium,0,0
sales,0.257,172.0,11,medium,1,0
sales,0.155,161.2,8,medium,0,0
sales,0.154,161.3,1,low,1,1
support,0.675,155.5,4,low,1,1
sales,0.207,169.6,10,low,1,1
operations,0.309,172.4,9,medium,0,1
sales,0.931,183.2,14,low,0,0
sales,0.146,183.4,11,medium,0,0
engineering,0.471,164.8,11,low,0,1
operations,0.887,132.5,9,low,0,0
operations,0.763,211.1,3,high,0,1
support,0.412,169.8,12,low,0,0
engineering,0.887,157.6,12,high,1,0
operations,0.331,162.0,4,medium,1,1
engineering,0.662,225.2,9,medium,1,1
engineering,0.933,114.0,4,medium,0,0
engineering,0.945,193.7,10,medium,1,0
sales,0.587,142.2,6,medium,1,0
sales,0.948,182.6,6,high,1,0
engineering,0.418,235.5,6,medium,1,0
support,0.637,151.5,13,medium,0,0
sales,0.428,148.8,14,medium,1,0
sales,0.277,160.7,4,low,0,0
support,0.904,216.6,12,low,0,0
engineering,0.621,138.0,2,low,0,0
engineering,0.301,150.6,6,medium,0,0
support,0.964,176.5,4,low,0,0
support,0.199,183.1,3,medium,0,1
engineering,0.777,186.3,12,low,0,0
support,0.577,210.4,7,low,0,0
support,0.153,177.9,12,low,0,0
sales,0.175,177.6,12,low,0,1
engineering,0.479,147.1,11,low,1,0
support,0.124,132.5,5,low,1,1
engineering,0.592,162.1,5,medium,0,0
sales,0.386,148.3,10,medium,0,0
engineering,0.813,176.9,1,low,0,0
sales,0.287,168.3,13,low,0,0
support,0.508,193.5,9,low,1,0
support,0.739,159.8,11,medium,0,0
engineering,0.235,,11,medium,0,0
support,0.841,169.2,8,low,0,0
operations,0.914,88.3,13,medium,0,0
engineering,0.274,199.0,7,medium,0,1
sales,0.8,161.1,5,medium,0,0
engineering,0.867,193.0,1,high,0,0
engineering,0.3,179.5,1,medium,0,0
support,0.197,,4,low,0,0
engineering,0.89,133.2,6,high,0,0
engineering,0.989,165.8,12,low,1,0
engineering,0.726,202.9,9,high,0,0
support,0.759,165.7,3,low,1,0
sales,0.331,,4,medium,0,0
operations,0.129,249.9,9,medium,0,1
operations,0.922,142.3,9,low,0,0
engineering,0.676,142.2,1,high,0,0
engineering,0.298,208.6,7,low,0,0
support,0.141,214.5,8,low,1,0
engineering,0.143,171.9,2,high,0,0
sales,0.165,177.4,7,high,0,0
sales,0.804,124.6,2,low,0,0
operations,0.794,171.4,5,low,1,0
engineering,0.16,165.3,8,low,1,1
sales,0.503,168.5,14,medium,1,0
sales,0.672,,12,medium,0,0
support,0.54,152.0,7,low,1,1
operations,0.157,121.0,2,low,0,0
sales,0.72,185.8,9,medium,0,0
support,0.167,167.4,3,low,1,1
sales,0.684,122.9,5,low,0,0
operations,0.107,165.3,0,high,1,0
engineering,0.79,154.9,1,low,0,0
support,0.489,163.8,8,medium,0,0
sales,0.584,,5,medium,0,1
engineering,0.776,138.7,0,medium,0,0
support,0.651,145.7,10,low,0,0
operations,0.185,121.8,6,low,0,1
support,0.348,161.2,10,low,0,0
sales,0.743,176.0,2,high,0,0
support,0.228,178.2,4,medium,0,0
support,0.477,165.5,7,medium,0,0
engineering,0.378,130.5,4,medium,0,0
operations,0.759,180.2,12,low,0,0
sales,0.593,150.5,11,high,0,0
support,0.557,191.6,0,medium,1,0
engineering,0.865,218.9,1,medium,0,0
operations,0.786,172.4,13,low,1,0
engineering,0.513,176.6,11,medium,1,0
sales,0.527,185.3,8,low,0,1
engineering,0.675,170.6,1,medium,0,0
sales,0.547,235.9,13,medium,0,1
sales,0.945,148.6,14,low,1,0
engineering,0.529,143.2,5,low,0,1
operations,0.2,193.1,3,medium,0,0
engineering,0.766,170.7,5,medium,1,0
sales,0.921,172.4,1,low,0,0
engineering,0.839,177.9,4,medium,1,0
support,0.202,167.8,12,low,0,1
support,0.569,174.3,12,low,1,0
sales,0.92,248.6,11,high,1,0
operations,0.756,172.2,12,low,0,0
support,0.614,221.1,9,medium,0,0
support,0.556,176.4,2,low,1,1
engineering,0.212,131.9,3,medium,0,1
engineering,0.365,194.9,14,medium,1,1
engineering,0.171,127.1,1,low,1,1
operations,0.858,204.4,3,medium,1,0
engineering,0.148,139.6,6,low,0,1
engineering,0.425,196.9,9,medium,0,0
support,0.569,187.7,1,medium,0,0
operations,0.875,170.2,14,high,0,0
engineering,0.407,219.6,8,medium,0,0
sales,0.749,194.3,1,medium,0,0
sales,0.233,225.1,9,low,0,0
support,0.244,181.7,9,high,1,1
engineering,0.972,206.6,14,low,0,0
operations,0.255,189.1,6,medium,0,0
sales,0.427,173.0,10,high,1,0
engineering,0.789,185.7,10,medium,0,0
engineering,0.616,159.2,5,medium,0,1
engineering,0.155,223.2,0,low,1,0
operations,0.374,211.2,2,low,0,0
sales,0.223,117.6,11,medium,0,0
sales,0.272,199.2,3,low,0,0
operations,0.451,151.5,3,medium,0,0
operations,0.359,153.6,4,medium,0,0
sales,0.387,150.6,3,medium,1,1
operations,0.813,156.3,3,medium,1,0
engineering,0.888,159.2,8,high,1,1
sales,0.337,142.8,9,medium,0,0
operations,0.522,165.3,6,low,0,0
engineering,0.597,198.4,11,medium,0,0
sales,0.887,188.2,10,medium,0,0
engineering,0.276,188.0,10,low,0,0
sales,0.631,190.3,1,medium,0,0
sales,0.457,155.4,10,low,0,1
engineering,0.206,196.9,12,low,0,0
support,0.268,175.9,10,medium,1,1
operations,0.452,135.3,7,medium,0,0
support,0.304,134.9,6,medium,1,1
engineering,0.992,154.5,14,high,1,0
sales,0.399,139.1,3,low,0,0
engineering,0.432,186.2,7,medium,0,0
sales,0.274,158.6,12,low,1,1
engineering,0.377,159.6,3,low,1,1
engineering,0.106,158.2,5,high,0,0
operations,0.195,168.7,3,medium,0,0
sales,0.576,245.7,2,medium,1,0
sales,0.611,123.4,14,high,0,0
sales,0.283,125.1,4,medium,0,0
sales,0.729,158.5,3,low,0,0
support,0.533,165.7,13,low,0,1
sales,0.117,126.0,4,low,1,0
operations,0.528,,4,medium,0,0
engineering,0.246,108.9,12,medium,0,0
sales,0.19,200.0,3,low,1,1
engineering,0.701,146.7,5,low,0,0
